sigma_toa,sigma_azimuth,sigma_elevation
2.7291001634750604e-07,0.27291001634750606,0.27291001634750606
6.840519867741133e-07,0.6840519867741134,0.6840519867741134
1.14375615192864e-06,1.14375615192864,1.14375615192864
3.7688720547216746e-07,0.3768872054721674,0.3768872054721674
2.698814379016595e-07,0.2698814379016595,0.2698814379016595
6.795353201766514e-07,0.6795353201766514,0.6795353201766514
1.1391158111892116e-06,1.1391158111892117,1.1391158111892117
3.8086306969677057e-07,0.38086306969677064,0.38086306969677064
2.6690457390462484e-07,0.26690457390462485,0.26690457390462485
6.750214917681632e-07,0.6750214917681633,0.6750214917681633
1.1344759325945674e-06,1.1344759325945672,1.1344759325945672
3.848567775785702e-07,0.38485677757857023,0.38485677757857023
2.6398121750355297e-07,0.26398121750355297,0.26398121750355297
6.705105642127192e-07,0.6705105642127192,0.6705105642127192
1.1298365235571859e-06,1.129836523557186,1.129836523557186
3.8886775960470025e-07,0.38886775960470027,0.38886775960470027
2.6111321022640326e-07,0.26111321022640327,0.26111321022640327
6.660026018801012e-07,0.6660026018801013,0.6660026018801013
1.1251975916191793e-06,1.1251975916191792,1.1251975916191792
3.9289546746573143e-07,0.39289546746573145,0.39289546746573145
2.5830244079231127e-07,0.2583024407923113,0.2583024407923113
6.614976709018529e-07,0.6614976709018529,0.6614976709018529
1.1205591444550167e-06,1.1205591444550167,1.1205591444550167
3.969393732143339e-07,0.3969393732143339,0.3969393732143339
2.5555084354664745e-07,0.2555508435466474,0.2555508435466474
6.569958392294702e-07,0.6569958392294701,0.6569958392294701
1.115921189874321e-06,1.115921189874321,1.115921189874321
4.0099896845456507e-07,0.4009989684545651,0.4009989684545651
2.5286039648594286e-07,0.25286039648594283,0.25286039648594283
6.524971766948256e-07,0.6524971766948257,0.6524971766948257
1.1112837358247291e-06,1.1112837358247292,1.1112837358247292
4.050737635612663e-07,0.40507376356126634,0.40507376356126634
2.502331188378205e-07,0.25023311883782046,0.25023311883782046
6.480017550729219e-07,0.6480017550729219,0.6480017550729219
1.1066467903948288e-06,1.1066467903948287,1.1066467903948287
4.0916328692896946e-07,0.40916328692896947,0.40916328692896947
2.4767106816165074e-07,0.24767106816165074,0.24767106816165074
6.435096481470774e-07,0.6435096481470775,0.6435096481470775
1.1020103618171657e-06,1.1020103618171657,1.1020103618171657
4.132670842496485e-07,0.4132670842496486,0.4132670842496486
2.4517633693696887e-07,0.24517633693696886,0.24517633693696886
6.39020931776647e-07,0.6390209317766471,0.6390209317766471
1.097374458471329e-06,1.097374458471329,1.097374458471329
4.1738471781859557e-07,0.4173847178185956,0.4173847178185956
2.427510486088599e-07,0.2427510486088599,0.2427510486088599
6.345356839673903e-07,0.6345356839673904,0.6345356839673904
1.0927390888871125e-06,1.0927390888871125,1.0927390888871125
4.2151576586766e-07,0.42151576586766004,0.42151576586766004
2.4039735306264416e-07,0.24039735306264415,0.24039735306264415
6.30053984944603e-07,0.6300539849446031,0.6300539849446031
1.0881042617477578e-06,1.0881042617477579,1.0881042617477579
4.256598219250603e-07,0.4256598219250603,0.4256598219250603
2.381174215043965e-07,0.2381174215043965,0.2381174215043965
6.255759172291335e-07,0.6255759172291335,0.6255759172291335
1.0834699858932794e-06,1.0834699858932795,1.0834699858932795
4.2981649420095307e-07,0.4298164942009531,0.4298164942009531
2.359134407291899e-07,0.2359134407291899,0.2359134407291899
6.211015657164089e-07,0.6211015657164088,0.6211015657164088
1.0788362703238753e-06,1.0788362703238754,1.0788362703238754
4.3398540499793445e-07,0.4339854049979344,0.4339854049979344
2.3378760676555182e-07,0.23378760676555183,0.23378760676555183
